"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (128.2889727 0.70009005)","YZ_ SPOT MABA","MALUKU UTARA","HALMAHERA TIMUR","MABA SELATAN"
"POINT (127.4841059 -0.6338218)","YZ_ FALAJAWA2 OBI","MALUKU UTARA","HALMAHERA SELATAN","OBI"
"POINT (127.98709075 0.48066329)","YZ_ SPOTGATE2","MALUKU UTARA","HALMAHERA TENGAH","WEDA TENGAH"
"POINT (128.091944 0.462063)","YZ_ SAGEA","MALUKU UTARA","HALMAHERA TENGAH","WEDA UTARA"
"POINT (127.8662806 0.3267646)","YZ_WEDA","MALUKU UTARA","HALMAHERA TENGAH","WEDA"
"POINT (127.9233844 0.4685432)","YZ_ Lelilef","MALUKU UTARA","HALMAHERA TENGAH","WEDA TENGAH"
"POINT (115.16739420 -2.11272330)","YZ_ DP TAL01","KALIMANTAN TENGAH","TAMIANG LAYANG","DUSUN TIMUR"
"POINT (114.57602940 -0.65198390)","YZ_ DPPUK03","KALIMANTAN TENGAH","MURUNG RAYA","MURUNG"
"POINT (111.73892190 -2.59558520)","YZ_ SPOT PANGKALAN DURIN","KALIMANTAN TENGAH","PANGKALANBUN","PANGKALAN LADA"
"POINT (0.00000000 0.00000000)","YZ_ DPKUP03","KALIMANTAN TENGAH","KUALA PEMBUANG","HANAU"
"POINT (112.21463320 -2.39672710)","YZ_ SPOT ASAM BARU","KALIMANTAN TENGAH","KUALA PEMBUANG","DANAU SELULUK"
"POINT (114.47742830 -1.74275100)","YZ_ DP KKS16","KALIMANTAN TENGAH","KUALA KAPUAS","TIMPAH"
"POINT (112.93696380 -2.53748920)","YZ_ DP SMQ05","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","MENTAWA BARU"
"POINT (113.76051220 -2.00446160)","YZ_ PKY04","KALIMANTAN TENGAH","PALANGKARAYA","BUKIT BATU-PKY"
"POINT (112.79847540 -2.02760170)","YZ_ DP SMQ11A","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","PARENGGEAN"
"POINT (112.97910120 -2.05045260)","YZ_ DP SMQ05A","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","CEMPAGA HULU"
"POINT (111.44327610 -2.19184680)","YZ_ LAD01","KALIMANTAN TENGAH","LAMANDAU","BULIK"
"POINT (113.10339020 -1.45827430)","YZ_ DP KSG06","KALIMANTAN TENGAH","KATINGAN","KATINGAN TENGAH"
"POINT (114.89078480 -0.94102580)","YZ_ DP MRW01","KALIMANTAN TENGAH","MUARA TEWEH","TEWEH TENGAH"
"POINT (113.76052250 -2.00453080)","YZ_ SPOT TUMBANG TALAKEN.","KALIMANTAN TENGAH","KUALA KURUN","MANUHING"
"POINT (113.39152930 -1.44753700)","YZ_ SPOT BANGUN SARI","KALIMANTAN TENGAH","KUALA KURUN","MANUHING"
"POINT (113.57317150 -1.29416250)","YZ_ SPOT TUMBANG JUTUH","KALIMANTAN TENGAH","KUALA KURUN","RUNGAN"
"POINT (114.36165660 -1.35605730)","YZ_ SPOT ZULKIPLI PUJON","KALIMANTAN TENGAH","KUALA KAPUAS","KAPUAS TENGAH"
"POINT (111.74488400 -2.62267370)","YZ_ SPOT SUNGAI RANGIT","KALIMANTAN TENGAH","PANGKALANBUN","KUMAI"
"POINT (114.343678 -1.755927)","YZ_ SPOT BUKIT BATU","KALIMANTAN TENGAH","KUALA KAPUAS","MANTANGAI"
"POINT (113.41336050 -1.88807780)","YZ_ SPOT BUNTUT BALI.","KALIMANTAN TENGAH","KATINGAN","PULAU MALAN"
"POINT (111.39331130 -2.14687900)","YZ_ SPOT SUMBER MULYA TRANS E","KALIMANTAN TENGAH","LAMANDAU","BULIK"
"POINT (112.97911210 -2.40081790)","YZ_ SPOT KOTA BESI","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","KOTA BESI"
"POINT (111.6429748 -2.0669926)","YZ_ SPOT MENTHOBI RAYA","KALIMANTAN TENGAH","LAMANDAU","METOBHI RAYA"
"POINT (113.9197785 -1.4905157)","YZ_ SPOT SEPANG","KALIMANTAN TENGAH","KUALA KURUN","SEPANG"
"POINT (112.3206368 -2.344004)","YZ_ SPOT RUNGAU","KALIMANTAN TENGAH","KUALA PEMBUANG","DANAU SELULUK"
"POINT (112.6501374 -2.5024943)","YZ_ SPOT PENYANG.","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","TELAWANG"
"POINT (111.4821031 -1.9026572)","YZ_ SPOT BULIK TIMUR.","KALIMANTAN TENGAH","LAMANDAU","BULIK TIMUR"
"POINT (112.553619 -1.817057)","YZ_ SPOT TUMBANG SANGAI","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","TELAGA ANTANG"
"POINT (113.2912 -1.765394)","YZ_ SPOT TEWANG SANGALANG GARING","KALIMANTAN TENGAH","KATINGAN","TEWANG SANGGALANG GARING"
"POINT (113.9292 -1.3274)","YZ_ SPOT MIHING RAYA","KALIMANTAN TENGAH","KUALA KURUN","MIHING RAYA"
"POINT (114.493170 -2.512754)","YZ_ SPOT MANTANGAI","KALIMANTAN TENGAH","KUALA KAPUAS","MANTANGAI"
"POINT (114.484152 -2.61596)","YZ_ SPOT LAMUNTI","KALIMANTAN TENGAH","KUALA KAPUAS","MANTANGAI"
"POINT (114.806122 -0.628759)","YZ_ SPOT MUARA TUHUP OUTLET","KALIMANTAN TENGAH","MURUNG RAYA","LAUNG TUHUP"
"POINT (114.55394 -0.658852)","YZ_ TANAH SIANG SELATAN","KALIMANTAN TENGAH","MURUNG RAYA","TANAH SIANG SELATAN"
"POINT (112.625768 -1.767625)","YZ_ AGUNG MULYA","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","TELAGA ANTANG"
"POINT (113.1816976 -1.924972)","YZ_ SPOT MUARA SAMBA","KALIMANTAN TENGAH","KATINGAN","KATINGAN HILIR"
"POINT (113.866599 -2.1719403)","YZ_ SPOT TRAHEAN","KALIMANTAN TENGAH","MUARA TEWEH","TEWEH SELATAN"
"POINT (113.8665616 -2.1719098)","YZ_ SPOT LAHEI","KALIMANTAN TENGAH","MUARA TEWEH","LAHEI"
"POINT (113.8665943 -2.1719337)","YZ_ SPOT SIKUI","KALIMANTAN TENGAH","MUARA TEWEH","TEWEH BARU"
"POINT (113.8663937 -2.17189)","YZ_ SPOT BUKIT SAWIT","KALIMANTAN TENGAH","MUARA TEWEH","TEWEH SELATAN"
"POINT (111.709263 -2.753694)","YZ_ BENTOT","KALIMANTAN TENGAH","PANGKALANBUN","KUMAI"
"POINT (113.8765412 -1.2209886)","YZ_ TUMBANG MIWAN","KALIMANTAN TENGAH","KUALA KURUN","KURUN"
"POINT (114.015167 -0.934222)","YZ_ SEI HANYO","#N/A","#N/A","#N/A"
"POINT (112.532027 -2.24845)","YZ_SEMATU JAYA","KALIMANTAN TENGAH","LAMANDAU","SEMATU JAYA"
