"WKT","Name","Provinsi","Kota","Kecamatan"
"POINT (109.492210 0.841400)","YZ_ SELUAS (BEG03A)","KALIMANTAN BARAT","BENGKAYANG","SELUAS"
"POINT (112.92495 0.858955)","YZ_ PUTUSSIBAU BERSATU (PSU18)","KALIMANTAN BARAT","KAPUAS HULU","PUTUSSIBAU UTARA"
"POINT (110.843044 -2.094822)","YZ_ DP MARAU BERJAYA","KALIMANTAN BARAT","TUMBANG TITI","MARAU"
"POINT (109.472108 -0.039814)","YZ_ LINGGA_01 (KUB02A)","KALIMANTAN BARAT","KUBURAYA","SUNGAI AMBAWANG"
"POINT (116.24070760 -2.40888800)","YZ_ JNTSPOT KBW08 BAKAU","KALIMANTAN SELATAN","KOTABARU","PAMUKAN UTARA"
"POINT (116.33498710 -2.36176380)","YZ_ JNTSPOT KBW08 BEBUNGA","KALIMANTAN SELATAN","KOTABARU","PAMUKAN UTARA"
"POINT (116.40736460 -2.40325200)","YZ_ JNTSPOT KBW08 BINTURUNG","KALIMANTAN SELATAN","KOTABARU","PAMUKAN UTARA"
"POINT (116.74330760 3.75233550)","YZ_ PA MWL01 JUSBUS PETRUS","KALIMANTAN UTARA","NUNUKAN","LUMBIS"
"POINT (116.63612640 3.59119240)","YZ_ SPOT MWL02 POLAJAYA","KALIMANTAN UTARA","NUNUKAN","SEBUKU"
"POINT (115.796443 -2.920819)","YZ_ JNTSPOT KBW05 HAMPANG","KALIMANTAN SELATAN","KOTABARU","HAMPANG"
"POINT (115.2669472 -2.7867162)","YZ_ JNTSPOT BAR01 HANTAKAN","KALIMANTAN SELATAN","HULU SUNGAI TENGAH","HANTAKAN"
"POINT (115.9832571 -3.1786465)","YZ_ JNTSPOT KBW02 POINT RT1","KALIMANTAN SELATAN","KOTABARU","KELUMPANG HILIR"
"POINT (117.9137587 4.142273)","YZ_ JNTSPOT NNX02 SEBATIK TIMUR","KALIMANTAN UTARA","NUNUKAN","SEBATIK TIMUR"
"POINT (116.8511566 -0.9161354)","YZ_ JNTSPOT PNJ03 DESA BUMI HARAPAN","KALIMANTAN TIMUR","PENAJAM","SEPAKU"
"POINT (116.9096612 3.6100819)","YZ_ JNTSPOT TTD02 MURUK RIAN","KALIMANTAN UTARA","TANA TIDUNG","MURUK RIAN"
"POINT (116.9096467 3.6099272)","YZ_ JNTSPOT TTD02 SESAYAP HILIR","KALIMANTAN UTARA","TANA TIDUNG","SESAYAP HILIR"
"POINT (117.7124238 4.0845135)","YZ_ JNTSPOT NNX04 SEDADAP","KALIMANTAN UTARA","NUNUKAN","NUNUKAN SELATAN"
"POINT (116.1635456 -1.6104256)","YZ_ JNTSPOT TNB01 MUARA TOYU","KALIMANTAN TIMUR","PASER","LONG KALI"
"POINT (117.2902629 0.6089651)","YZ_ JNTSPOT SGT14 RANTAU PULUNG","KALIMANTAN TIMUR","KUTAI TIMUR","RANTAU PULUNG"
"POINT (117.5949246 0.5136152)","YZ_ JNTSPOT SGT12A TELUK LINGGA","KALIMANTAN TIMUR","KUTAI TIMUR","SANGATA UTARA"
"POINT (117.52909 0.49598)","YZ_ JNTSPOT SGT11A SANGATA SELATAN","KALIMANTAN TIMUR","KUTAI TIMUR","SANGATA UTARA"
"POINT (116.2072049 -3.2585514)","YZ_ JNTSPOT KBW16 JELAPAT","KALIMANTAN SELATAN","KOTABARU","PULAU LAUT UTARA"
"POINT (114.6933772 -3.4362399)","YZ_ JNTSPOT BLN06B CP KARANG INDAH","KALIMANTAN SELATAN","TANAH BUMBU","ANGSANA-BLN"
"POINT (117.1605207 -0.4820573)","YZ_ JNTSPOT TWR01 MUARA ANCALONG","KALIMANTAN TIMUR","KUTAI TIMUR","MUARA ANCALONG"
"POINT (116.8787967 1.0687865)","YZ_ JNTSPOT SGT02 MUARA WAHAU","KALIMANTAN TIMUR","KUTAI TIMUR","MUARA WAHAU"
"POINT (115.238850 0.526211)","YZ_ JNTSPOT SED04 UJOH BILANG","#N/A","#N/A","#N/A"
"POINT (117.56848919 0.75411277)","YZ_ JNTSPOT SGT04 BENGALON","KALIMANTAN TIMUR","KUTAI TIMUR","BENGALON"
"POINT (117.9792512 0.991125)","YZ_ JNTSPOT SGT15 SANGKULIRANG","KALIMANTAN TIMUR","KUTAI TIMUR","SANGKULIRANG"
"POINT (116.0365626 -0.5819341)","YZ_ JNTSPOT SED08 JEMPANG","KALIMANTAN TIMUR","SENDAWAR","JEMPANG"
"POINT (117.800126 2.617257)","YZ_JNTSPOT TZO03 TANJUNG PALAS TIMUR","KALIMANTAN UTARA","BULUNGAN","TANJUNG SELOR"
"POINT (116.1952957 -1.9162375)","YZ_ JNTSPOT TNB02 BATU ENGAU","KALIMANTAN TIMUR","PASER","BATU ENGAU"
"POINT (117.1605157 -0.482108)","YZ_ JNTSPOT TWR01 BENUA BARU","KALIMANTAN TIMUR","KUTAI TIMUR","MUARA BENGKAL"
"POINT (116.72611781 0.55028827)","YZ_ JNTSPOT TWR01 LONG MESANGAT","KALIMANTAN TIMUR","KUTAI TIMUR","LONG MESANGAT"
"POINT (116.1562896 -2.5118845)","YZ_ JNTSPOT KBW08 CP SUNGAI DURIAN","KALIMANTAN SELATAN","KOTABARU","SUNGAI DURIAN"
"POINT (114.8801004 -3.4207295)","YZ_ JNTSPOT MTA07 CP INDRASARI","KALIMANTAN SELATAN","MARTAPURA(BANJARMASIN)","MARTAPURA KOTA"
"POINT (114.8649157 -3.4487897)","YZ_ JNTSPOT BJB08 CP SUNGAI ULIN","KALIMANTAN SELATAN","BANJARBARU","BANJARBARU UTARA"
"POINT (116.9250789 1.162421)","YZ_ JNTSPOT SGT11 CP KONGBENG","KALIMANTAN TIMUR","KUTAI TIMUR","KONGBENG"
"POINT (117.1604765 -0.4820523)","YZ_ JNTSPOT SGT12 CP BUMI JAYA","KALIMANTAN TIMUR","KUTAI TIMUR","KAUBUN"
"POINT (114.6933561 -3.4362053)","YZ_ SPOT PLR07 CP JORONG","KALIMANTAN SELATAN","TANAH LAUT","JORONG"
"POINT (114.8054713 -3.4728055)","YZ_ JNTSPOT MTA05A CP CINDAI ALUS","KALIMANTAN SELATAN","MARTAPURA(BANJARMASIN)","MARTAPURA KOTA"
"POINT (116.0970735 -3.2699791)","YZ_ JNTSPOT KBW06 CP TARJUN","KALIMANTAN SELATAN","KOTABARU","KELUMPANG HILIR"
"POINT (114.8491582 -3.4615959)","YZ_ JNTSPOT BJB09 CP CEMPAKA 2","KALIMANTAN SELATAN","BANJARBARU","CEMPAKA-BJB"
"POINT (116.71763450 0.43719692)","YZ_ JNTSPOT TWR01 MUARA BENGKAL","KALIMANTAN TIMUR","KUTAI TIMUR","MUARA BENGKAL"
"POINT (115.02545753 -3.28079867)","YZ_ JNTSPOT MTA08 CP PENGARON","KALIMANTAN SELATAN","MARTAPURA(BANJARMASIN)","SIMPANG EMPAT-MTA"
"POINT (116.0153433 -2.3203005)","YZ_ JNTSPOT KBW08C PAMUKAN BARAT","KALIMANTAN SELATAN","KOTABARU","PAMUKAN BARAT"
"POINT (116.0766915 -2.7956758)","YZ_ JNTSPOT KBW07 CP BUNGKUKAN","KALIMANTAN SELATAN","KOTABARU","KELUMPANG BARAT"
"POINT (114.6933648 -3.4362197)","YZ_ JNTSPOT KBW05 CANTUNG","KALIMANTAN SELATAN","KOTABARU","KELUMPANG HULU"
"POINT (115.8021616 -3.6485647)","YZ_ JNTSPOT BLN08 CP SUNGAI LOBAN","KALIMANTAN SELATAN","TANAH BUMBU","SUNGAI LOBAN"
"POINT (116.06350690 -3.97757744)","YZ_ JNTSPOT KBW04 LONTAR","KALIMANTAN SELATAN","KOTABARU","PULAU LAUT BARAT"
"POINT (114.6933572 -3.4362209)","YZ_ JNTSPOT BLN13 CP SEBAMBAN","KALIMANTAN SELATAN","TANAH BUMBU","SUNGAI LOBAN"
"POINT (115.9899289 -3.1956045)","YZ_ JNTSPOT KBW02 SERONGGA","KALIMANTAN SELATAN","KOTABARU","KELUMPANG HILIR"
"POINT (115.91967869 -3.60686362)","YZ_ JNTSPOT BLN04 KUSAN HILIR","KALIMANTAN SELATAN","TANAH BUMBU","KUSAN HILIR"
"POINT (114.65092818 -3.31861193)","YZ_ JNTSPOT MTA06 SUNGAI LULUT","KALIMANTAN SELATAN","MARTAPURA(BANJARMASIN)","SEI _ SUNGAI TABUK"
"POINT (131.28935280 -0.88180580)","YZ_ SORONG","PAPUA BARAT","SORONG","SORONG"
"POINT (134.04629870 -0.86620030)","YZ_ MKW01","PAPUA BARAT","MANOKWARI","MANOKWARI BARAT"
"POINT (106.6283788 -6.2449286)","GRAHA EMERALD","Banten","Tangerang","Kelapa Dua"
"POINT (106.6292162 -6.244393)","PLAZA SUMMARECON GS","Banten","Tangerang","Kelapa Dua"
"POINT (106.6326286 -6.2431667)","APT. M-TOWN RESIDENCE","Banten","Tangerang","Kelapa Dua"
"POINT (106.9490708 -6.2054293)","APT. SAMESTA EAST POINT","DKI Jakarta","Jakarta timur","cakung"
